case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_071,singlecore,1,ok,18919,121446,121446,0,,,0.136,
case_071,q1,2,ok,18919,121446,121446,0,,,0.145,
case_071,q1,3,ok,18919,121446,121446,0,,,0.171,
case_071,q1,4,ok,18919,121446,121446,0,,,0.165,
case_071,q1,5,ok,18919,121446,121446,0,,,0.159,
case_071,q2,1,ok,18919,121446,121446,0,,,0.105,
case_071,q2,2,ok,18919,121446,121446,0,,,0.114,
case_071,q2,3,ok,18919,121446,121446,0,,,0.13,
case_071,q2,4,ok,18919,121446,121446,0,,,0.152,
case_071,q2,5,ok,18919,121446,121446,0,,,0.14,
case_071,q3,1,ok,18919,121446,121446,0,0.0,0,0.109,
case_071,q3,2,ok,18919,121446,121446,0,0.0,0,0.101,
case_071,q3,3,ok,18919,121446,121446,0,0.0,0,0.131,
case_071,q3,4,ok,18919,121446,121446,0,0.0,0,0.118,
case_071,q3,5,ok,18919,121446,121446,0,0.0,0,0.117,
case_072,singlecore,1,ok,23897828,11103184,119716864,108613680,,,868.007,
case_072,q1,2,ok,11833111,11103184,125048560,113945376,,,896.602,
case_072,q1,3,ok,7945629,11103184,125105904,114002720,,,677.321,
case_072,q1,4,ok,5994354,11103184,133396208,122293024,,,544.209,
case_072,q1,5,ok,4863110,11103184,132591232,121488048,,,444.272,
case_072,q2,1,ok,23897828,11103184,119716864,108613680,,,25.413,
case_072,q2,2,ok,11833111,11103184,125048560,113945376,,,17.588,
case_072,q2,3,ok,7945629,11103184,125105904,114002720,,,13.717,
case_072,q2,4,ok,5994354,11103184,133396208,122293024,,,13.189,
case_072,q2,5,ok,4863110,11103184,132591232,121488048,,,11.747,
case_072,q3,1,ok,23890756,11103184,119716864,108613680,0.026210198484652728,3137536,25.661,
case_072,q3,2,ok,11819724,11103184,125048560,113945376,0.08667751314952236,10838016,18.415,
case_072,q3,3,ok,7937690,11103184,125105904,114002720,0.0996039784764509,12460032,14.341,
case_072,q3,4,ok,5985478,11103184,133396208,122293024,0.10029188214088088,13377536,14.029,
case_072,q3,5,ok,4854207,11103184,132591232,121488048,0.11863414511699387,15728640,12.122,
case_073,singlecore,1,ok,10081626,4041088,145611520,141570432,,,8.698,
